mass	mf
130.13576	C8H18O
130.14699	C7H18N2
131.02186	C4H5NO4
131.05824	C5H9NO3
131.06947	C4H9N3O2
131.0735	C9H9N
131.09462	C6H13NO2
131.10586	C5H13N3O
131.14224	C6H17N3
131.93003	C2H3Cl3
132.00587	C4H4O5
132.01711	C3H4N2O4
132.0245	C5H8O2S
132.02999	H9N2O4P
132.0335	C4H5FN2O2
132.04226	C5H8O4
132.04359	C6H4N4
132.05349	C4H8N2O3
132.05751	C9H8O
132.06472	C3H8N4O2
132.06874	C8H8N2
132.07864	C6H12O3
132.08987	C5H12N2O2
132.0939	C10H12
132.96561	C3H3NOS2
133.01975	C4H7NO2S
133.03751	C4H7NO4
133.04874	C3H7N3O3
133.05276	C8H7NO
133.05613	C5H11NOS
133.06399	C7H7N3
133.07389	C5H11NO3
133.08512	C4H11N3O2
133.08914	C9H11N
134.02152	C4H6O5
134.03276	C3H6N2O4
134.03678	C8H6O2
134.03792	C5H7FO3
134.04015	C5H10O2S
134.05791	C5H10O4
134.05924	C6H6N4
134.06914	C4H10N2O3
134.07316	C9H10O
134.08776	C5H14N2S
134.09429	C6H14O3
134.11676	C4H14N4O
134.99901	C3H5NO3S
135.01677	C3H5NO5
135.0354	C4H9NO2S
135.04326	C6H5N3O
135.05316	C4H9NO4
135.05449	C5H5N5
135.06841	C8H9NO
135.07964	C7H9N3
135.10479	C9H13N
135.95237	C3H5BrO
136.01941	C4H8O3S
136.02728	C6H4N2O2
136.03717	C4H8O5
136.03851	C5H4N4O
136.05243	C8H8O2
136.06366	C7H8N2O
136.07356	C5H12O4
136.07489	C6H8N4
136.08881	C9H12O
136.10004	C8H12N2
136.12519	C10H16
137.01466	C3H7NO3S
137.02418	C3H8NO3P
137.02992	C7H7NS
137.04768	C7H7NO2
137.04882	C4H8FNO3
137.05891	C6H7N3O
137.06481	C6H8BNO2
137.08406	C8H11NO
137.09529	C7H11N3
137.09712	C6H16ClN
137.93164	C2H3BrO2
137.9662	C2H7AsO2
137.96802	C3H7BrO
137.99868	C3H6O4S
138.0082	C3H7O4P
138.01778	C4H2N4O2
138.03169	C7H6O3
138.03506	C4H10O3S
138.04293	C6H6N2O2
138.04458	C4H11O3P
138.05416	C5H6N4O
138.06808	C8H10O2
138.07931	C7H10N2O
138.09054	C6H10N4
138.10446	C9H14O
